text,intent,labels,ner
what's that.,general_repeat,37,[]
add email address iamironman@gmail dot com,email_addcontact,24,[]
what is the cooking time for mashed potatoes,cooking_recipe,15,[]
you didn't get it correctly.,general_negate,34,[]
make this email a new contact,email_addcontact,24,[]
what's the good news,tell_me_news,95,[]
play npr on this station,play_radio,71,"[('npr', 'ORG')]"
tell me the list about,lists_query,55,[]
what is twenty four times six,qa_maths,77,"[('twenty four', 'CARDINAL'), ('six', 'CARDINAL')]"
book a train ticket from mumbai to goa,transport_ticket,100,"[('mumbai', 'GPE'), ('goa', 'GPE')]"
latest event in new york city,recommendation_events,80,"[('new york city', 'GPE')]"
what is mom's email address,email_querycontact,26,[]
when is the next office meeting,calendar_query,9,[]
what are the train times from san francisco to new york,transport_query,98,"[('san francisco', 'GPE'), ('new york', 'GPE')]"
play the davinci code,play_audiobook,65,[]
white,iot_hue_lightchange,46,[]
that would be all.,general_commandstop,29,[]
you have understood my instructions exactly.,general_affirm,28,[]
sorry but i think you are not right.,general_negate,34,[]
can you mute my speaker,audio_volume_mute,7,[]
can you please confirm detail.,general_confirm,30,[]
how many euro in u. s. d.,qa_currency,74,[]
tell me the recipe to cook pav bhaji,cooking_recipe,15,[]
is there any events planned for the next three months,calendar_query,9,"[('the next three months', 'DATE')]"
can you recommend some movies to watch in theater near me,recommendation_movies,82,[]
add this email to a new contact,email_addcontact,24,[]
what's new with the stock market,qa_stock,78,[]
don't make any sounds,audio_volume_mute,7,[]
read to me the last messages in my feed,social_query,88,[]
how tall is roraima mount,qa_factoid,76,"[('roraima', 'PERSON')]"
show me today all train times of next two hours at jodhpur to jaisalmer,transport_query,98,"[('today', 'DATE'), ('next two hours', 'TIME'), ('jodhpur', 'GPE'), ('jaisalmer', 'GPE')]"
update me on my emails,email_query,25,[]
it was wonderful.,general_affirm,28,[]
tweet kohls about the cleanliness of their store,social_post,87,"[('kohls', 'PERSON')]"
what movies are playing this week,recommendation_movies,82,"[('this week', 'DATE')]"
Where should I go nearby?,places_near_me,64,[]
say a good joke for me right now,general_joke,33,[]
will you please put something something@gmail dot com in my contacts,email_addcontact,24,[]
how much is starbuck's stock these days,qa_stock,78,[]
drop it from list,lists_remove,56,[]
what are the latest photos on my instagram account,social_query,88,"[('instagram', 'ORG')]"
is my alarm set for tomorrow morning,alarm_query,0,"[('tomorrow morning', 'TIME')]"
theaters near to me,recommendation_movies,82,[]
open sirius app and play the classical channel,play_radio,71,"[('sirius', 'ORG')]"
today's closing price for google,qa_stock,78,"[('today', 'DATE'), ('google', 'ORG')]"
please would you cancel it.,general_commandstop,29,[]
when was this song first recorded,music_query,58,"[('first', 'ORDINAL')]"
check internet speed of chrome,check_internet_speed,12,[]
tell me one more time again please.,general_repeat,37,"[('one', 'CARDINAL')]"
let me know the weather for today,weather_query,104,"[('today', 'DATE')]"
activate silent,audio_volume_mute,7,[]
you've got me incorrectly.,general_negate,34,[]
can you put on the chuck palhunik audio book,play_audiobook,65,"[('chuck palhunik', 'PERSON')]"
grocery list add eggs,lists_createoradd,54,[]
increase the volume,audio_volume_up,8,[]
get me a uber,transport_taxi,99,[]
i'd like to hear the last utterance spoken again.,general_repeat,37,[]
don't bother.,general_dontcare,31,[]
read my grocery list,lists_query,55,[]
find list in my pda,lists_query,55,"[('pda', 'PRODUCT')]"
it was a very hectic workday,general_quirky,36,[]
does ming ten do take out,takeaway_query,92,[]
what does happy mean,qa_definition,75,[]
what are the news notification,news_query,61,[]
dollar rate,qa_currency,74,[]
its cold outside,weather_query,104,[]
change light colors from blue to white,iot_hue_lightchange,46,[]
"you did good job, thanks.",general_praise,35,[]
olly will you stop please.,general_commandstop,29,[]
should i bring warm clothes,weather_query,104,[]
when is my food going to be here,takeaway_query,92,[]
can i get the recipe for chocolate brownies,cooking_recipe,15,[]
yeah amazing response.,general_affirm,28,[]
decrease the volume,audio_volume_down,6,[]
repeat the current song,music_settings,59,[]
calculate two plus 29,qa_maths,77,"[('two', 'CARDINAL'), ('29', 'CARDINAL')]"
make me a cup of coffee,iot_coffee,45,[]
what was the name of my last email,email_query,25,[]
please repeat that.,general_repeat,37,[]
can you tell me a joke,general_joke,33,[]
can you change the light colors into dark in the house,iot_hue_lightchange,46,[]
shut off the lights in the kitchen,iot_hue_lightoff,48,[]
order some fried chicken from church's chicken via grubhub,takeaway_order,91,"[('grubhub', 'ORG')]"
tell me about this week's weather,weather_query,104,"[('week', 'DATE')]"
tell me that one more time please.,general_repeat,37,"[('one', 'CARDINAL')]"
play chopin,play_music,68,"[('chopin', 'PERSON')]"
let me know when you hear about france,news_query,61,"[('france', 'GPE')]"
what are the train times between eight am and ten am at east chicago station going west on sunday,transport_query,98,"[('between eight am and ten am', 'TIME'), ('east chicago station', 'FAC'), ('sunday', 'DATE')]"
get me the local train timing to destination cstm,transport_query,98,[]
what is happening in the area,recommendation_events,80,[]
please warm up coffee machine,iot_coffee,45,[]
call vikki,email_querycontact,26,"[('vikki', 'PERSON')]"
turn on the vacuum,iot_cleaning,44,[]
i need the lights raised can you do that,iot_hue_lightup,50,[]
what trending on twitter,social_query,88,[]
vacuum the mud room,iot_cleaning,44,[]
how many miles in five kilometers,qa_maths,77,"[('five kilometers', 'QUANTITY')]"
tell me what time it is right now,datetime_query,22,[]
"good work, you have done well, olly.",general_praise,35,"[('olly', 'PERSON')]"
increase lighting,iot_hue_lightup,50,[]
tell me a joke about xenophobia,tell_me_joke,94,[]
play radio ninety five point five,play_radio,71,"[('ninety five point five', 'CARDINAL')]"
any one would be good to me.,general_dontcare,31,[]
tell me who wrote this song,music_query,58,[]
should i go through the valley or on the ten to get to westwood,transport_traffic,101,"[('valley', 'LOC'), ('ten', 'FAC'), ('westwood', 'GPE')]"
top ten movies,recommendation_movies,82,"[('ten', 'CARDINAL')]"
call me a taxi,transport_taxi,99,[]
latest events,calendar_query,9,[]
start the coffee machine at three,iot_coffee,45,"[('three', 'TIME')]"
"s2, i was unclear about your answers.",general_explain,32,"[('s2', 'PERSON')]"
how much is a g. b. p. in u. s. d.,qa_currency,74,[]
what time does thor start,recommendation_movies,82,"[('thor', 'PERSON')]"
remove my work alarm,alarm_remove,1,[]
start play,play_music,68,[]
resume harry potter book five,play_audiobook,65,"[('harry potter', 'PERSON'), ('five', 'CARDINAL')]"
please play next episode,play_podcasts,70,[]
olly i want you just stop it.,general_commandstop,29,[]
what is the meaning of the word sanctimonious,qa_definition,75,[]
remind me to take the casserole out of the oven at seven hundred and forty five pm,calendar_set,11,"[('seven hundred and forty five pm', 'TIME')]"
add the post office to my list of errands for saturday,lists_createoradd,54,"[('saturday', 'DATE')]"
can you find me a street fair in the neighborhood,recommendation_events,80,[]
can you retry please.,general_repeat,37,[]
tell me about my upcoming week,calendar_query,9,"[('my upcoming week', 'DATE')]"
does fongs do carry out,takeaway_query,92,[]
get me a seat on the next train going to new york,transport_ticket,100,"[('new york', 'GPE')]"
power off the wemo plug,iot_wemo_off,51,"[('wemo', 'PRODUCT')]"
how do i prepare all my food for cooking,cooking_recipe,15,[]
i am bored what can i do today with my girlfriend,i_am_bored,43,"[('today', 'DATE')]"
let me hear some bluegrass music,play_music,68,[]
who covered the song one more cup of coffee,music_query,58,"[('one', 'CARDINAL')]"
send a tweet to meijer tell them that they have the worst customer service,social_post,87,"[('meijer', 'ORG')]"
what's going on facebook,social_query,88,[]
now it's five thirty pm in india what about the time in ivory coast,datetime_convert,21,"[('five thirty pm', 'TIME'), ('india', 'GPE'), ('ivory coast', 'GPE')]"
raise your volume,audio_volume_up,8,[]
i couldn't get what you've said.,general_explain,32,[]
try it once more please.,general_repeat,37,[]
are there any interesting events around this area,recommendation_events,80,[]
prepare email for susan,email_sendemail,27,"[('susan', 'PERSON')]"
please tweet a complaint about slow service at applebee's,social_post,87,"[(""applebee's"", 'ORG')]"
"awesome work, you've done well.",general_praise,35,[]
please can you confirm details.,general_confirm,30,[]
please quiet the speaker,audio_volume_mute,7,[]
get more information on geographic information about this place,qa_factoid,76,[]
tweet to the customer service account of starbucks,social_post,87,"[('starbucks', 'ORG')]"
tweet my current location,social_post,87,[]
change the light colour to green,iot_hue_lightchange,46,[]
repeat this list in random order,play_music,68,[]
please check last thing said.,general_confirm,30,[]
delete my next meeting,calendar_remove,10,[]
today,asking_date,3,"[('today', 'DATE')]"
do you know math,qa_maths,77,[]
please add deodorant to my shopping list,lists_createoradd,54,[]
make a list about selena gomez concert schedule,lists_createoradd,54,"[('selena gomez', 'PERSON')]"
system pull any traffic news for my commute,transport_traffic,101,[]
weather like,weather_query,104,[]
let's play nine ball against me adapt with my skill level always let me win,play_game,66,"[('nine', 'CARDINAL')]"
if my vacuum cleaner is not activated please activate it,iot_cleaning,44,[]
what's on my list,lists_query,55,[]
please can you say it one more time again.,general_repeat,37,"[('one', 'CARDINAL')]"
double cappuccino small please,iot_coffee,45,[]
initiate to operate robot vacuum cleaner,iot_cleaning,44,[]
i would like instructions on how to cook baked chicken,cooking_recipe,15,[]
can you remind me of sunday gym every saturday evening,calendar_set,11,"[('sunday', 'DATE')]"
i'd love to hear any song that i've given five stars by serge gainsbourg,play_music,68,"[('five', 'CARDINAL'), ('serge gainsbourg', 'PERSON')]"
your answer was not so clear.,general_explain,32,[]
order two cheeseburgers from wings n. ale on university drive,takeaway_order,91,"[('two', 'CARDINAL'), ('wings n. ale', 'ORG'), ('university drive', 'FAC')]"
please start vacuum,iot_cleaning,44,[]
play for me the music by the beatles,play_music,68,[]
yes that's fantastic.,general_affirm,28,[]
hello there,greet_and_general_check_in,40,[]
"appreciated, that's nice.",general_praise,35,[]
inform me of my new emails,email_query,25,[]
do not mind for any one.,general_dontcare,31,[]
what alarms do you have set,alarm_query,0,[]
whats a good place to eat around midtown new york,recommendation_locations,81,"[('midtown new york', 'LOC')]"
please book train ticket to new york,transport_ticket,100,"[('new york', 'GPE')]"
start cleaning robot cleaner,iot_cleaning,44,[]
current traffic conditions,transport_traffic,101,[]
what is the best italian restaurant around here,recommendation_locations,81,"[('italian', 'NORP')]"
does the restaurant have delivery,takeaway_query,92,[]
please dim the lights,iot_hue_lightdim,47,[]
i need a recipe for spaghetti,cooking_recipe,15,[]
two thousand and seventeen movies,recommendation_movies,82,"[('two thousand and seventeen', 'CARDINAL')]"
what is the latest traffic report for miami,transport_traffic,101,"[('miami', 'GPE')]"
add paav bhaji in menu card,lists_createoradd,54,"[('paav bhaji', 'PERSON')]"
tell me what i said one more time again please.,general_repeat,37,"[('one', 'CARDINAL')]"
resume harry potter from the place i have stopped listening to last time,play_audiobook,65,"[('harry potter', 'PERSON')]"
go and make me a coffee,iot_coffee,45,[]
add sugar to my shopping list,lists_createoradd,54,[]
when does the last train from work leave,transport_query,98,[]
add alarm,alarm_set,2,[]
i would like to know the best rating pubs in the local area,recommendation_locations,81,[]
Can you open the pod bay door please,podbaydoor,72,[]
give me a geographic fact about vilnius,qa_factoid,76,[]
see see for me the alarms that you have set tomorrow morning,alarm_query,0,"[('tomorrow morning', 'TIME')]"
start and email to john smith,email_sendemail,27,"[('john smith', 'PERSON')]"
delete event for tuesday,calendar_remove,10,"[('tuesday', 'DATE')]"
please lower the shuffle rate of hips don't lie,music_settings,59,[]
capture photo of,click_photo,14,[]
tweet to consumer service that they should strive to be more accommodating,social_post,87,[]
have i gotten any new emails,email_query,25,[]
did i set an alarm to have tablets in the noon,alarm_query,0,[]
new messages,email_query,25,[]
can you book train ticket from mumbai to sangli for tomorrow morning,transport_ticket,100,"[('mumbai', 'GPE'), ('sangli', 'GPE'), ('tomorrow', 'DATE')]"
turn my lights to some random color,iot_hue_lightchange,46,[]
respond to all that i am on my way,email_sendemail,27,[]
one plus two equal,qa_maths,77,"[('one', 'CARDINAL'), ('two', 'CARDINAL')]"
will you send the email to greg,email_sendemail,27,"[('greg', 'PERSON')]"
play the two towers,play_audiobook,65,"[('two', 'CARDINAL')]"
lower the volume on the speakers,audio_volume_down,6,[]
anything is ok for me.,general_dontcare,31,[]
open the two towers,play_audiobook,65,"[('two', 'CARDINAL')]"
i want to hear the book written by the mother of the shooter at columbine,play_audiobook,65,"[('columbine', 'FAC')]"
find a shop that sells beer,recommendation_locations,81,[]
tell me more about that concert,general_quirky,36,[]
This is Adam,greetingresponse,42,"[('Adam', 'PERSON')]"
send a tweet to tmobile for rude employees,social_post,87,"[('tmobile', 'ORG')]"
i need you to set an alarm,alarm_set,2,[]
do i have alarms set for today,alarm_query,0,"[('today', 'DATE')]"
"wonderful job, you have done well.",general_praise,35,[]
abolish an item from list,lists_remove,56,[]
how is my order,takeaway_query,92,[]
i would like coffee now,iot_coffee,45,[]
what is the nuclear triad,qa_definition,75,[]
delete all details in event,calendar_remove,10,[]
volume control,audio_volume_mute,7,[]
google search the topic,news_query,61,"[('google', 'ORG')]"
when is my doctor's appointment,calendar_query,9,[]
show me cooking websites,cooking_recipe,15,[]
once again clarify me about your answers please.,general_explain,32,[]
switch the lights off,iot_hue_lightoff,48,[]
did you get the instruction correctly?,general_confirm,30,[]
please modify the wrong command.,general_negate,34,[]
remove milk from my grocery list,lists_remove,56,[]
resume the playback of a child called it,play_audiobook,65,[]
get me an uber please,transport_taxi,99,[]
read about mary s.,email_querycontact,26,"[('mary s.', 'PERSON')]"
give me the name of all the shops in my area,recommendation_locations,81,[]
i would like to have a cup of coffee,iot_coffee,45,[]
was einstein married,qa_factoid,76,"[('einstein', 'PERSON')]"
don't respond for fifty seconds,audio_volume_mute,7,"[('fifty seconds', 'TIME')]"
go to the next episode in this podcast,play_podcasts,70,[]
find the events,recommendation_events,80,[]
olly will you cancel it.,general_commandstop,29,[]
delete the meeting alarm at two pm on tuesday,alarm_remove,1,"[('two pm', 'TIME'), ('tuesday', 'DATE')]"
plan me a holiday trip,general_quirky,36,[]
what is the weather like today,asking_weather,5,"[('today', 'DATE')]"
lower the lights in the room,iot_hue_lightdim,47,[]
hey olly turn up the lights a little,iot_hue_lightup,50,[]
send an email to qerwerq@hotmail dot com,email_sendemail,27,[]
please change the color of the light in the bathroom,iot_hue_lightchange,46,[]
play the circle,play_audiobook,65,[]
"nope, incorrect command.",general_negate,34,[]
please find the recipe for meatballs,cooking_recipe,15,[]
radio one thousand and twenty seven,play_radio,71,"[('one thousand and twenty seven', 'CARDINAL')]"
whats ten percent off forty dollars,qa_maths,77,"[('ten percent', 'PERCENT'), ('forty dollars', 'MONEY')]"
i need to figure out this percentage,qa_maths,77,[]
what is the time in beijing,datetime_query,22,"[('beijing', 'GPE')]"
can you tell me a good place to eat,recommendation_locations,81,[]
what is the current exchange rate between dollars and euros,qa_currency,74,[]
play the latest games,play_game,66,[]
delete all events for the next five days,calendar_remove,10,"[('the next five days', 'DATE')]"
what time are my alarms,alarm_query,0,[]
what is the song currently playing,music_query,58,[]
what time does the train to place leave,transport_query,98,[]
play the next episode of the bbc tech podcast,play_podcasts,70,"[('bbc', 'ORG')]"
help me start my kitchen list,lists_createoradd,54,[]
what is the time difference between my location and hong kong,datetime_convert,21,"[('hong kong', 'GPE')]"
go to setting,iot_hue_lightchange,46,[]
tell me about city traffic,transport_traffic,101,[]
how many minutes do i need to wait to pick up my food from china on the go,takeaway_query,92,"[('china', 'GPE')]"
up the volume the sound is too low,audio_volume_up,8,[]
i want more light,iot_hue_lightup,50,[]
meeting july calendar,calendar_query,9,[]
keep playing war and peace,play_audiobook,65,[]
do i have a busy day today,calendar_query,9,"[('today', 'DATE')]"
please update my grocery list with one gallon of two percent milk,lists_createoradd,54,"[('one gallon', 'QUANTITY'), ('two percent', 'PERCENT')]"
show todays events in new york,recommendation_events,80,"[('todays', 'DATE'), ('new york', 'GPE')]"
set a continuous alarm without the option to snooze for seven am please,alarm_set,2,"[('seven am', 'TIME')]"
can you tell me what's on the schedule for tomorrow,calendar_query,9,"[('tomorrow', 'DATE')]"
will you rephrase me on what you've just said again please.,general_explain,32,[]
current news cnn,news_query,61,"[('current news', 'WORK_OF_ART'), ('cnn', 'ORG')]"
is traffic heavy,transport_traffic,101,[]
does peking garden deliver,takeaway_query,92,[]
what are the titles of the lists in contacts,lists_query,55,[]
resuming playing my current audio book,play_audiobook,65,[]
"any one would be okay, olly.",general_dontcare,31,"[('olly', 'PERSON')]"
what's going on between three hundred and thirty and four,calendar_query,9,"[('between three hundred and thirty and four', 'DATE')]"
play football match for myself now,play_game,66,[]
can you play hunt for red october,play_audiobook,65,"[('october', 'DATE')]"
have my iroomba clean the house,iot_cleaning,44,[]
what is the exchange rate between the us dollar and the aus dollar,qa_currency,74,"[('us', 'GPE'), ('aus', 'GPE')]"
tell chris i will be late through email,email_sendemail,27,"[('chris', 'PERSON')]"
good response to command.,general_affirm,28,[]
olly schedule a news update for tomorrow morning at seven am,news_query,61,"[('tomorrow', 'DATE'), ('seven am', 'TIME')]"
what can i do in berlin,recommendation_events,80,"[('berlin', 'GPE')]"
cancel business meeting on wednesday,calendar_remove,10,"[('wednesday', 'DATE')]"
show me the alarms that are set,alarm_query,0,[]
don't really bother.,general_dontcare,31,[]
how do you make pasta,cooking_recipe,15,[]
You are very clever,clever,13,[]
repeat music,music_settings,59,[]
change the lights to dim,iot_hue_lightdim,47,[]
ordering food,takeaway_order,91,[]
provide wall street journal news,news_query,61,"[('wall street journal news', 'ORG')]"
turn lights to green,iot_hue_lightchange,46,[]
turn off the bathroom lights,iot_hue_lightoff,48,[]
remove twenty fourth march meeting from schedule,calendar_remove,10,"[('twenty fourth march', 'DATE')]"
pause the music,audio_volume_mute,7,[]
i think you've done task all wrong.,general_negate,34,[]
stock details,qa_stock,78,[]
play maroon five playlist,play_music,68,"[('maroon five', 'WORK_OF_ART')]"
play bbc radio,play_radio,71,"[('bbc radio', 'ORG')]"
it's dirty here make some noise,iot_cleaning,44,[]
what time is my alarm set for tomorrow morning,alarm_query,0,"[('tomorrow morning', 'TIME')]"
play howard stern on sirius,play_radio,71,"[('howard stern', 'PERSON'), ('sirius', 'PERSON')]"
"it was good one, thank you very much.",general_praise,35,"[('one', 'CARDINAL')]"
how long should i cook a steak to be medium,cooking_recipe,15,[]
what time i am waking up tomorrow,alarm_query,0,"[('tomorrow', 'DATE')]"
what is the time in london,datetime_query,22,"[('london', 'GPE')]"
did angelina jolie leave brad pitt,qa_factoid,76,"[('angelina jolie', 'PERSON'), ('brad pitt', 'PERSON')]"
tweet complaint to dominoes,social_post,87,[]
I am getting bored,i_am_bored,43,[]
we're out of paint so take bathroom painting off the list,lists_remove,56,[]
play music by taylor swift,play_music,68,"[('taylor swift', 'PERSON')]"
cancel wake up calls for this week,alarm_remove,1,"[('this week', 'DATE')]"
where is the closest spot to order food for pickup,takeaway_query,92,[]
please rephrase me more on what you said now.,general_explain,32,[]
please remind me about the event later five pm,calendar_set,11,"[('five pm', 'TIME')]"
find me an audio book version of ready player one and play it for me,play_audiobook,65,"[('ready player one', 'PRODUCT')]"
does shibaru sushi deliver,takeaway_query,92,[]
what alarms do i have set right now,alarm_query,0,[]
tweet for me the complaint about drainage choke up,social_post,87,[]
new reminder at three pm,calendar_set,11,"[('three pm', 'TIME')]"
what is four plus four,qa_maths,77,"[('four', 'CARDINAL'), ('four', 'CARDINAL')]"
current stock price intel,qa_stock,78,[]
vacuum start,iot_cleaning,44,[]
tell me what one plus one is,qa_maths,77,"[('one', 'CARDINAL')]"
how long should i cook chicken for,cooking_recipe,15,[]
i want to order some takeaway food,takeaway_order,91,[]
can i have stock rate list of ola and uber,qa_stock,78,"[('ola', 'ORG'), ('uber', 'ORG')]"
compile favorites list according to my song feedback,music_likeness,57,[]
what are all my lists,lists_query,55,[]
i would like to hear heathens by twenty one pilots,play_music,68,"[('twenty one', 'CARDINAL')]"
i need to get to bristol friday night can you book me a ticket please,transport_ticket,100,"[('bristol', 'GPE'), ('friday', 'DATE'), ('night', 'TIME')]"
did linda connors reply to any of my emails this morning,email_query,25,"[('linda connors', 'PERSON'), ('this morning', 'TIME')]"
please read my facebook feed,social_query,88,[]
start up the coffee machine,iot_coffee,45,[]
i will talk to you later on.,general_commandstop,29,[]
remove grocery list,lists_remove,56,[]
too loud,audio_volume_down,6,[]
i need an alarm set for five hundred and thirty am tomorrow,alarm_set,2,"[('five hundred and thirty am', 'TIME'), ('tomorrow', 'DATE')]"
call mom,email_querycontact,26,[]
start cleaning floors,iot_cleaning,44,[]
pontificate definition,qa_definition,75,[]
skip this podcast,play_podcasts,70,[]
will it be good to buy nike stock today,qa_stock,78,"[('nike', 'ORG'), ('today', 'DATE')]"
i am bored what can i do,i_am_bored,43,[]
best reviews restaurant in south sacramento,recommendation_locations,81,"[('best reviews', 'ORG'), ('south sacramento', 'GPE')]"
do i have anything planned for today,lists_query,55,"[('today', 'DATE')]"
"i think you made mistake, please change this.",general_negate,34,[]
what's the rate between pesos and yen,qa_currency,74,[]
email my boss that i will be late today because of an emergency and apologize to him for missing the meeting,email_sendemail,27,[]
let national grid know the power is out again,social_post,87,"[('national grid', 'ORG')]"
dim my light,iot_hue_lightdim,47,[]
alarm,alarm_set,2,[]
Hello,greeting,41,[]
turn on repeat,music_settings,59,[]
what type of event,recommendation_events,80,[]
how far above sea level is denver,qa_factoid,76,"[('denver', 'PERSON')]"
wouldn't mind.,general_dontcare,31,[]
does mary smith live on main street,email_querycontact,26,"[('mary smith', 'PERSON'), ('main street', 'FAC')]"
light color change,iot_hue_lightchange,46,[]
are there any events going on nearby,recommendation_events,80,[]
create a list for the following,lists_createoradd,54,[]
book me the cheapest train ticket to new york,transport_ticket,100,"[('new york', 'GPE')]"
"uh no, you've done in wrong manner.",general_negate,34,[]
will you confirm that please.,general_confirm,30,[]
i like classic rock,music_likeness,57,[]
what is the answer to two by two,qa_maths,77,"[('two', 'CARDINAL'), ('two', 'CARDINAL')]"
update alarm,alarm_set,2,[]
buy train tickets from delhi to mumbai for twenty third march,transport_ticket,100,"[('delhi', 'GPE'), ('mumbai', 'GPE'), ('twenty third march', 'DATE')]"
please play back some important points summary,play_audiobook,65,[]
confirm that my notification is set to remind me when i leave,calendar_query,9,[]
rewind button,play_podcasts,70,[]
open spotify and play list five,play_music,68,"[('five', 'CARDINAL')]"
remove all alarms,alarm_remove,1,[]
i am bored what can i do today with my family,i_am_bored,43,"[('today', 'DATE')]"
open saga,play_game,66,[]
compare prices of dairy items in local shops,general_quirky,36,[]
please set the equalizer in the party mode,music_settings,59,[]
"uhh no, you didn't interpret the request right.",general_negate,34,[]
i would like to know the meaning of word,qa_definition,75,[]
"uh no, it isn't what i am looking for.",general_negate,34,[]
play for me the music by madonna,play_music,68,"[('madonna', 'PERSON')]"
what time is it in denver,datetime_query,22,"[('denver', 'GPE')]"
i want an alarm for six am everyday,alarm_set,2,"[('six am', 'TIME'), ('everyday', 'DATE')]"
yeah that's great.,general_affirm,28,[]
did trey sand any messages,email_query,25,[]
why does tom izzo look like a whiny bitch when his team plays,general_quirky,36,"[('tom izzo', 'PERSON')]"
tell me about activities in my area this weekend,recommendation_events,80,"[('this weekend', 'DATE')]"
Thanks goodbye,courtesygoodbye,16,[]
please send an email to john saying i'm on leave,email_sendemail,27,"[('john', 'PERSON')]"
decrease volume,audio_volume_down,6,[]
what are the local concerts tonight,recommendation_events,80,"[('tonight', 'TIME')]"
want to have vibrant colours,iot_hue_lightchange,46,[]
turn off one light on porch,iot_hue_lightoff,48,"[('one', 'CARDINAL')]"
tweet starbucks and say that the customer service is awful,social_post,87,"[('starbucks', 'ORG')]"
does restaurant royale deliver takeaway,takeaway_query,92,[]
put this on my facebook,social_post,87,[]
Make me laugh,jokes,53,[]
what's the closing price of apple,qa_stock,78,[]
is it going to rain later,weather_query,104,[]
what is the current song called,music_query,58,[]
find a recipe for chicken alfredo,cooking_recipe,15,[]
add paper towels to the grocery list,lists_createoradd,54,[]
download youtube video of,download_youtube_video,23,"[('youtube', 'ORG')]"
place alarm at five o'clock morning,alarm_set,2,"[(""five o'clock morning"", 'TIME')]"
how many alarms are currently set,alarm_query,0,[]
make me a cup of coffee please,iot_coffee,45,[]
tell me joke,general_joke,33,[]
i love hip hop,music_likeness,57,[]
"that's useful, thank you very much.",general_praise,35,[]
run game,play_game,66,[]
play the kansas city hip hop station,play_radio,71,"[('kansas city', 'GPE')]"
find a taxi for me,transport_taxi,99,[]
book a train ticket for friday april fourteenth for boston,transport_ticket,100,"[('friday april fourteenth', 'DATE'), ('boston', 'GPE')]"
brighten light,iot_hue_lightup,50,[]
book me a train ride covering five destinations to see in new york,transport_ticket,100,"[('five', 'CARDINAL'), ('new york', 'GPE')]"
what is the linear equation,qa_maths,77,[]
how long will it take me to drive to work today,transport_traffic,101,"[('today', 'DATE')]"
"dammit, not right response.",general_negate,34,[]
turn on robot vacuum cleaner,iot_cleaning,44,[]
are there any detours that i need to know about,transport_traffic,101,[]
yeap get that right.,general_affirm,28,[]
how is the traffic on the i fifteen in las vegas today,transport_traffic,101,"[('the i fifteen', 'FAC'), ('las vegas', 'GPE'), ('today', 'DATE')]"
tell me about my day,tell_me_about,93,[]
can you turn up the volume,audio_volume_up,8,[]
schedule city cab from home to airport at eight am,transport_taxi,99,"[('eight am', 'TIME')]"
may you please pull up information about a contact,email_querycontact,26,[]
i'd like a cappuccino please,iot_coffee,45,[]
make it brighter in here,iot_hue_lightup,50,[]
should i wear a hat today,weather_query,104,[]
write this message to the coworker group,email_sendemail,27,[]
email my meeting details to my manager,email_sendemail,27,[]
can you set radio to mute,audio_volume_mute,7,[]
read list for me please,lists_query,55,[]
"s1, please clarify me about your answers once again.",general_explain,32,[]
cancel my event on june nineteenth,calendar_remove,10,"[('june nineteenth', 'DATE')]"
Can you see anyone in the camera?,whoami,106,[]
turn off on wemo outlet,iot_wemo_off,51,"[('wemo outlet', 'ORG')]"
what time is the train passing by,transport_query,98,[]
what is new,news_query,61,[]
please start the radio,play_radio,71,[]
confirmed.,general_affirm,28,[]
how much has hp stock gone up,qa_stock,78,[]
sound off,audio_volume_mute,7,[]
send email,send_email,84,[]
make the lights pink,iot_hue_lightchange,46,[]
compose this email to this new email address,email_sendemail,27,[]
hey olly have you heard any funny jokes lately,general_joke,33,"[('olly', 'PERSON')]"
what is the weather like now tomorrow,asking_weather,5,"[('tomorrow', 'DATE')]"
olly talk to you later on.,general_commandstop,29,[]
what creates buttermilk,qa_factoid,76,[]
get recipe for apple pie,cooking_recipe,15,[]
do i have an alarm set for today,alarm_query,0,"[('today', 'DATE')]"
what kind of music do you think i like,music_query,58,[]
what is the exchange rate for the english pound and us dollar,qa_currency,74,"[('english', 'LANGUAGE'), ('us', 'GPE')]"
next podcast,play_podcasts,70,[]
Clever girl,clever,13,[]
look up whether or not charley's steakhouse delivers,takeaway_query,92,"[('charley', 'LOC')]"
what is today's close of goog,qa_stock,78,"[('today', 'DATE')]"
I want to hear some gossip,gossip,39,[]
set alarm for nine am,alarm_set,2,"[('nine am', 'TIME')]"
please set an alarm at six am,alarm_set,2,"[('six am', 'TIME')]"
read me my alarms,alarm_query,0,[]
where is the event venue,recommendation_events,80,[]
find a taxi to book,transport_taxi,99,[]
repeat album,music_settings,59,[]
the list contain what,lists_query,55,[]
change my mum's email in my phonebook,email_addcontact,24,[]
what will be the weather on monday this week,weather_query,104,"[('monday', 'DATE')]"
resume joes book from where i left off last time,play_audiobook,65,"[('joes', 'PERSON')]"
i want you to turn off the plug socket before the cellphone is charged,iot_wemo_off,51,[]
what is the nearest theatre that plays the new vin diesel movie,recommendation_movies,82,"[('vin diesel', 'ORG')]"
start spider,play_game,66,[]
activate the cleaner for furniture cleaning,iot_cleaning,44,[]
send an email to frank and ask them what the weather going to be like this week,email_sendemail,27,"[('frank', 'PERSON'), ('this week', 'DATE')]"
please delete all meeting after seven am,calendar_remove,10,"[('seven am', 'TIME')]"
"anything will be good with me, olly.",general_dontcare,31,"[('olly', 'PERSON')]"
